,channelName,scores
0,OverSimplified,-0.008490130653266436
1,brewstewfilms,-0.006391413141314188
2,GradeAUnderA,0.014563043478260897
3,Recreyo,0.035279885094571514
4,Tabbes,0.03737864520456068
5,DanPlan,0.05522111239545908
6,The French Pineapple,0.05809929757343544
7,Andrei Terbea,0.06103192967680888
8,8 Bit Ultra,0.0639951980792316
9,TheOdd1sOut,0.0647261984196668
10,TimTom,0.06517876928797164
11,Young Don The Sauce God,0.0657703997083402
12,uToonz,0.0661190815518606
13,Noodle,0.0669366452251361
14,SomeThingElseYT,0.06771025414896208
15,CypherDen,0.06869668109668084
16,Daidus,0.06875517530615624
17,grgikau,0.06919189614476776
18,ChillyPanda,0.07123648534781415
19,Haminations,0.07212871269951401
20,TJ Toons,0.0728360163710776
21,Casually Explained,0.07300931586608445
22,Let Me Explain Studios,0.07374817616580308
23,TheAMaazing,0.07399279477483794
24,PantslessPajamas,0.07421782178217842
25,carykh,0.07457780044000159
26,sWooZie,0.07533086749384645
27,illymation,0.0760070969172767
28,CircleToonsHD,0.07661002510605165
29,Young Yong Tales,0.07982673725420471
30,Jaiden Animations,0.08118981524608034
31,Plan3,0.08181571906354508
32,Sultan Sketches,0.08189866685182594
33,CurtRichy,0.08461973051801507
34,Wengsome,0.08749827175208608
35,Actually Stephen,0.08765555938988123
36,WowRightMeow,0.08814439293991795
37,NeroTM Animations,0.08818941008458783
38,BrodyAnimates,0.08909339805825221
39,Jacadamia,0.08914176308539938
40,Ivan Animated,0.08933101265822768
41,Billy But Better,0.08999235474006113
42,RushLight Invader,0.09042262062128213
43,Ice Cream Sandwich,0.0912160309892728
44,Donimation Studios,0.09162549019607842
45,GetMadz,0.09173779294653077
46,Berd,0.0927841241331143
47,Alex's Corner,0.09562788800705456
48,Infamous Swoosh,0.10029139167862286
49,Alex Meyers,0.10178021538912217
50,Domics,0.10307533354794624
51,RubberNinja,0.10517698986975361
52,Wolfychu,0.10550442394133047
53,Emirichu,0.11032941653982807
54,GingerPale,0.11053507945850498
55,TonyvToons,0.1121727977161507
56,EroldStory,0.11524025868096141
57,LukeOrSomething,0.11590463114754208
58,Katzun,0.1167120543953396
59,Alex Clark,0.1255144757849889
60,Laddi,0.18064835013748856
